date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:27	2928/2928	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2007:19:55%20GMT	https://demo.accesspressthemes.com/robots.txt		(from )
11:22:29	333460/333460	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2007:19:55%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/index.html	(from )
11:22:31	41045/41045	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jun%202020%2005:30:58%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-includes/css/dist/block-library/style.min03ec.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:31	804/804	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2028%20Jul%202020%2007:19:59%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/comments/feed/	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/comments/feed/index.html	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:31	113528/113528	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2012%20Nov%202019%2010:42:05%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/feed/	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/feed/index.html	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:32	30440/30440	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2007:33:30%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:32	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css?ver=1.3.5	C:/Users/Banu/Downloads/vnews/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.mine34c.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:33	239545/239545	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202018%2006:21:34%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/share/frontend.css?ver=1.3.5	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/share/frontende34c.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:34	27108/27108	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202018%2006:21:34%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/counter/font-awesome/font-awesome.css?ver=1.3.5	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/counter/font-awesome/font-awesomee34c.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:35	118173/118173	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Feb%202018%2006:21:34%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/counter/frontend.css?ver=1.3.5	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/accesspress-social-pro/css/counter/frontende34c.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:36	971/971	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2007:33:27%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.10.13	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/siteorigin-panels/css/front-flex.min2c4f.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:37	5807/5807	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Aug%202019%2019:05:54%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/vmagazine-companion/assets/css/shortcodes.css?ver=5.3.4	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/vmagazine-companion/assets/css/shortcodes03ec.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:37	16542/16542	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2007:33:30%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.0	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9e95.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:37	6758/6758	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2007:33:30%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.0	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9e95.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:37	62669/62669	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Nov%202019%2007:33:30%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.0	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/woocommerce/assets/css/woocommerce9e95.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
11:22:38	152907/152907	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Aug%202018%2018:09:34%20GMT	https://demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/wp-cookie-user-info-pro/assets/css/wpcui-frontend-style.css?ver=1.0.9	C:/Users/Banu/Downloads/vnews/demo.accesspressthemes.com/vmagazine/demo-one/wp-content/plugins/wp-cookie-user-info-pro/assets/css/wpcui-frontend-stylecb18.css	(from https://demo.accesspressthemes.com/vmagazine/demo-one/)
